Titre Offre,Nom Entreprise,Localisation,Type de Contrat,Salaire,Expérience,Descriptif du Poste,Profil Recherché
UX/UI Designer,Actual Digital,Blagnac,Stage,Négociable,2-3 ans d'expérience,Participer à la conception et au développement d'applications web innovantes.,Capacité à travailler en équipe et à gérer des projets.
Ingénieur IA,Actual Digital,Colomiers,Freelance,40-45k€,Senior (10 ans et plus),Assurer la gestion et la sécurité des systèmes d'information.,Capacité à travailler en équipe et à gérer des projets.
Développeur Full-Stack,Actual Digital,Colomiers,Freelance,30-35k€,Senior (10 ans et plus),Assurer la gestion et la sécurité des systèmes d'information.,Connaissance des tendances actuelles en technologie.
Consultant en Transformation Digitale,Actual Digital,Toulouse,CDI,45-50k€,Débutant accepté,Créer et gérer des campagnes marketing performantes.,Bonne maîtrise des outils digitaux et des langages de programmation.
Technicien IT,Actual Digital,Toulouse,Stage,35-40k€,Débutant accepté,Créer et gérer des campagnes marketing performantes.,Capacité à travailler en équipe et à gérer des projets.
Graphiste,Actual Digital,Toulouse,Freelance,35-40k€,5+ ans d'expérience,Analyser les données pour fournir des insights stratégiques.,Capacité à travailler en équipe et à gérer des projets.
Responsable Marketing,Actual Digital,Blagnac,Freelance,Négociable,Débutant accepté,Créer et gérer des campagnes marketing performantes.,Formation Bac+3/5 en informatique ou équivalent.
Consultant en Transformation Digitale,Actual Digital,Ramonville,Freelance,30-35k€,2-3 ans d'expérience,Collaborer avec les équipes pour améliorer l'expérience utilisateur.,Capacité à travailler en équipe et à gérer des projets.
Responsable Marketing,Actual Digital,Toulouse,CDD,40-45k€,2-3 ans d'expérience,Assurer la gestion et la sécurité des systèmes d'information.,Connaissance des tendances actuelles en technologie.
Développeur Full-Stack,Actual Digital,Labège,Stage,50-60k€,Débutant accepté,Analyser les données pour fournir des insights stratégiques.,Formation Bac+3/5 en informatique ou équivalent.
Chef de Projet Digital,Actual Digital,Labège,CDD,45-50k€,2-3 ans d'expérience,Analyser les données pour fournir des insights stratégiques.,Excellentes compétences en communication et en résolution de problèmes.
Data Scientist,Actual Digital,Toulouse,CDI,Négociable,Débutant accepté,Assurer la gestion et la sécurité des systèmes d'information.,Connaissance des tendances actuelles en technologie.
Consultant en Transformation Digitale,Actual Digital,Colomiers,Stage,30-35k€,5+ ans d'expérience,Créer et gérer des campagnes marketing performantes.,Connaissance des tendances actuelles en technologie.
Graphiste,Actual Digital,Colomiers,CDI,40-45k€,5+ ans d'expérience,Collaborer avec les équipes pour améliorer l'expérience utilisateur.,Formation Bac+3/5 en informatique ou équivalent.
Analyste Big Data,Actual Digital,Labège,CDI,40-45k€,Senior (10 ans et plus),Créer et gérer des campagnes marketing performantes.,Connaissance des tendances actuelles en technologie.
Analyste Big Data,Actual Digital,Colomiers,Freelance,30-35k€,Senior (10 ans et plus),Collaborer avec les équipes pour améliorer l'expérience utilisateur.,Connaissance des tendances actuelles en technologie.
Business Analyst,Actual Digital,Blagnac,Freelance,30-35k€,Débutant accepté,Créer et gérer des campagnes marketing performantes.,Excellentes compétences en communication et en résolution de problèmes.
Graphiste,Actual Digital,Toulouse,Stage,Négociable,2-3 ans d'expérience,Créer et gérer des campagnes marketing performantes.,Formation Bac+3/5 en informatique ou équivalent.
Chef de Projet Digital,Actual Digital,Labège,CDI,Négociable,Senior (10 ans et plus),Analyser les données pour fournir des insights stratégiques.,Capacité à travailler en équipe et à gérer des projets.
Scrum Master,Actual Digital,Toulouse,Stage,30-35k€,Senior (10 ans et plus),Assurer la gestion et la sécurité des systèmes d'information.,Connaissance des tendances actuelles en technologie.
